cusip,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription
00724F101,BBG000BB5006,ADOBE INC,ADBE,US,BBG000BB5006,Common Stock,Equity,BBG001S5NCQ5,Common Stock,ADBE
747525103,BBG000CGC1X8,QUALCOMM INC,QCOM,US,BBG000CGC1X8,Common Stock,Equity,BBG001S6VS70,Common Stock,QCOM
149123101,BBG000BF0K17,CATERPILLAR INC,CAT,US,BBG000BF0K17,Common Stock,Equity,BBG001S5PJ06,Common Stock,CAT
007903107,BBG000BBQCY0,ADVANCED MICRO DEVICES,AMD,US,BBG000BBQCY0,Common Stock,Equity,BBG001S5NN36,Common Stock,AMD
65339F101,BBG000BJSBJ0,NEXTERA ENERGY INC,NEE,US,BBG000BJSBJ0,Common Stock,Equity,BBG001S5RB29,Common Stock,NEE
907818108,BBG000BW3299,UNION PACIFIC CORP,UNP,US,BBG000BW3299,Common Stock,Equity,BBG001S5X2M0,Common Stock,UNP
548661107,BBG000BNDN65,LOWE'S COS INC,LOW,US,BBG000BNDN65,Common Stock,Equity,BBG001S5SVL3,Common Stock,LOW
922908363,BBG0015VYNT4,VANGUARD S&P 500 ETF,VOO,US,BBG0015VYNT4,ETP,Equity,BBG001TC6MC1,Mutual Fund,VOO
883556102,BBG000BVDLH9,THERMO FISHER SCIENTIFIC INC,TMO,US,BBG000BVDLH9,Common Stock,Equity,BBG001S5WS08,Common Stock,TMO
855244109,BBG000CTQBF3,STARBUCKS CORP,SBUX,US,BBG000CTQBF3,Common Stock,Equity,BBG001S72KH6,Common Stock,SBUX
G1151C101,,,,,,,,,,
539830109,BBG000C1BW00,LOCKHEED MARTIN CORP,LMT,US,BBG000C1BW00,Common Stock,Equity,BBG001S7PS57,Common Stock,LMT
20030N101,BBG000BFT2L4,COMCAST CORP-CLASS A,CMCSA,US,BBG000BFT2L4,Common Stock,Equity,BBG001S5PXL2,Common Stock,CMCSA
438516106,BBG000H556T9,HONEYWELL INTERNATIONAL INC,HON,US,BBG000H556T9,Common Stock,Equity,BBG001S5X1N1,Common Stock,HON
654106103,BBG000C5HS04,NIKE INC -CL B,NKE,US,BBG000C5HS04,Common Stock,Equity,BBG001S6NTK2,Common Stock,NKE
75513E101,BBG000BW8S60,RTX CORP,RTX,US,BBG000BW8S60,Common Stock,Equity,BBG001S5X5Q9,Common Stock,RTX
053015103,BBG000GZ3B88,AUTOMATIC DATA PROCESSING,ADP,GR,BBG000GZ3B88,Common Stock,Equity,BBG001S82KF6,Common Stock,ADP
882508104,BBG000BVV7G1,TEXAS INSTRUMENTS INC,TXN,US,BBG000BVV7G1,Common Stock,Equity,BBG001S5WYZ7,Common Stock,TXN
458140100,BBG000C0G1D1,INTEL CORP,INTC,US,BBG000C0G1D1,Common Stock,Equity,BBG001S5SF65,Common Stock,INTC
00206R102,BBG000BSJK37,AT&T INC,T,US,BBG000BSJK37,Common Stock,Equity,BBG001S5VWH2,Common Stock,T
110122108,BBG000DQLV23,BRISTOL-MYERS SQUIBB CO,BMY,US,BBG000DQLV23,Common Stock,Equity,BBG001S8N8J6,Common Stock,BMY
G5960L103,,,,,,,,,,
235851102,BBG000BH3JF8,DANAHER CORP,DHR,US,BBG000BH3JF8,Common Stock,Equity,BBG001S5QGT0,Common Stock,DHR
025816109,BBG000BCQZS4,AMERICAN EXPRESS CO,AXP,US,BBG000BCQZS4,Common Stock,Equity,BBG001S5P034,Common Stock,AXP
464287804,BBG000BWCNN7,ISHARES CORE S&P SMALL-CAP E,IJR,US,BBG000BWCNN7,ETP,Equity,BBG001SFC7W9,Mutual Fund,IJR
921943858,BBG000QVFB47,VANGUARD FTSE DEVELOPED ETF,VEA,US,BBG000QVFB47,ETP,Equity,BBG001SSPWL4,Mutual Fund,VEA
911312106,BBG000L9CV04,UNITED PARCEL SERVICE-CL B,UPS,US,BBG000L9CV04,Common Stock,Equity,BBG001SDGSH1,Common Stock,UPS
872540109,BBG000BV8DN6,TJX COMPANIES INC,TJX,US,BBG000BV8DN6,Common Stock,Equity,BBG001S5WQ93,Common Stock,TJX
718172109,BBG000HPKTN4,PHILIP MORRIS INTERNATIONAL,4I1,GR,BBG000HPKTN4,Common Stock,Equity,BBG001STP9N1,Common Stock,4I1
20825C104,BBG000BQQH30,CONOCOPHILLIPS,COP,US,BBG000BQQH30,Common Stock,Equity,BBG001S5TZM2,Common Stock,COP
949746101,BBG000BWQFY7,WELLS FARGO & CO,WFC,US,BBG000BWQFY7,Common Stock,Equity,BBG001S5XF23,Common Stock,WFC
922908769,BBG000HR9779,VANGUARD TOTAL STOCK MKT ETF,VTI,US,BBG000HR9779,ETP,Equity,BBG001SHTB03,Mutual Fund,VTI
038222105,BBG000BBPFB9,APPLIED MATERIALS INC,AMAT,US,BBG000BBPFB9,Common Stock,Equity,BBG001S5NMM7,Common Stock,AMAT
38141G104,BBG000C6CFJ5,GOLDMAN SACHS GROUP INC,GS,US,BBG000C6CFJ5,Common Stock,Equity,BBG001SC07Z6,Common Stock,GS
369604301,BBG000BFQ610,GENERAL ELECTRIC,GE,PE,BBG000BFQ5F7,Common Stock,Equity,BBG001S5PVD5,Common Stock,GE
464287655,BBG000CGC9C4,ISHARES RUSSELL 2000 ETF,IWM,US,BBG000CGC9C4,ETP,Equity,BBG001SFC7Y7,Mutual Fund,IWM
863667101,BBG000DN7P92,STRYKER CORP,SYK,US,BBG000DN7P92,Common Stock,Equity,BBG001S8FR03,Common Stock,SYK
097023105,BBG000BCSST7,BOEING CO/THE,BA,US,BBG000BCSST7,Common Stock,Equity,BBG001S5P0V3,Common Stock,BA
244199105,BBG000BH1NH9,DEERE & CO,DE,US,BBG000BH1NH9,Common Stock,Equity,BBG001S5QFF7,Common Stock,DE
291011104,BBG000BHX7N2,EMERSON ELECTRIC CO,EMR,US,BBG000BHX7N2,Common Stock,Equity,BBG001S5QVT7,Common Stock,EMR
461202103,BBG000BH5DV1,INTUIT INC,INTU,US,BBG000BH5DV1,Common Stock,Equity,BBG001S6TWR2,Common Stock,INTU
78409V104,BBG000BP1Q11,S&P GLOBAL INC,SPGI,US,BBG000BP1Q11,Common Stock,Equity,BBG001S5T5M8,Common Stock,SPGI
922908736,BBG000HT2CB6,VANGUARD GROWTH ETF,VUG,US,BBG000HT2CB6,ETP,Equity,BBG001SHTTS4,Mutual Fund,VUG
874039100,BBG000BD8ZK0,TAIWAN SEMICONDUCTOR-SP ADR,TSM,US,BBG000BD8ZK0,ADR,Equity,BBG001S5WWW4,Depositary Receipt,TSM
G29183103,,,,,,,,,,
697435105,BBG0014GJCT9,PALO ALTO NETWORKS INC,PANW,US,BBG0014GJCT9,Common Stock,Equity,BBG001T9NWN5,Common Stock,PANW
26441C204,BBG000BHGDH5,DUKE ENERGY CORP,DUK,US,BBG000BHGDH5,Common Stock,Equity,BBG001S5QNR7,Common Stock,DUK
03027X100,BBG000B9XYV2,AMERICAN TOWER CORP,AMT,US,BBG000B9XYV2,REIT,Equity,BBG001S5NPQ6,REIT,AMT
609207105,BBG000D4LWF6,MONDELEZ INTERNATIONAL INC-A,MDLZ,US,BBG000D4LWF6,Common Stock,Equity,BBG001SHHZJ3,Common Stock,MDLZ
81762P102,BBG000M1R011,SERVICENOW INC,NOW,US,BBG000M1R011,Common Stock,Equity,BBG001T4JFC0,Common Stock,NOW
194162103,BBG000BFQYY3,COLGATE-PALMOLIVE CO,CL,US,BBG000BFQYY3,Common Stock,Equity,BBG001S5PVM5,Common Stock,CL
87612E106,BBG000FWB7P7,TARGET CORP,DYH,GR,BBG000FWB7P7,Common Stock,Equity,BBG001SC0K41,Common Stock,DYH
G54950103,,,,,,,,,,
126650100,BBG000BGRY34,CVS HEALTH CORP,CVS,US,BBG000BGRY34,Common Stock,Equity,BBG001S5QBD8,Common Stock,CVS
88579Y101,BBG000BP52R2,3M CO,MMM,US,BBG000BP52R2,Common Stock,Equity,BBG001S5T7X2,Common Stock,MMM
009158106,BBG000BC4JJ4,AIR PRODUCTS & CHEMICALS INC,APD,US,BBG000BC4JJ4,Common Stock,Equity,BBG001S5NSB6,Common Stock,APD
617446448,BBG000BLX7P1,MORGAN STANLEY,DWD,GR,BBG000BLX7P1,Common Stock,Equity,BBG001S9V5Z3,Common Stock,DWD
464287507,BBG000BWC7P0,ISHARES CORE S&P MIDCAP ETF,IJH,US,BBG000BWC7P0,ETP,Equity,BBG001SFC7V0,Mutual Fund,IJH
94106L109,BBG000BWVSR1,WASTE MANAGEMENT INC,WM,US,BBG000BWVSR1,Common Stock,Equity,BBG001S5XH47,Common Stock,WM
46120E602,BBG000BJPDZ1,INTUITIVE SURGICAL INC,ISRG,US,BBG000BJPDZ1,Common Stock,Equity,BBG001S7XR78,Common Stock,ISRG
842587107,BBG000BT9DW0,SOUTHERN CO/THE,SO,US,BBG000BT9DW0,Common Stock,Equity,BBG001S5W777,Common Stock,SO
032654105,BBG000BB6G37,ANALOG DEVICES INC,ADI,US,BBG000BB6G37,Common Stock,Equity,BBG001S5ND38,Common Stock,ADI
808513105,BBG000BSLZY7,SCHWAB (CHARLES) CORP,SCHW,US,BBG000BSLZY7,Common Stock,Equity,BBG001S5VXD4,Common Stock,SCHW
H1467J104,,,,,,,,,,
98978V103,BBG0039320N9,ZOETIS INC,ZTS,US,BBG0039320N9,Common Stock,Equity,BBG0039320P7,Common Stock,ZTS
78463V107,BBG000BWMZB2,SPDR GOLD SHARES,GQ9,GR,BBG000BWMZB2,ETP,Equity,BBG001SCPX28,Mutual Fund,GQ9
369550108,BBG000BK67C7,GENERAL DYNAMICS CORP,GD,US,BBG000BK67C7,Common Stock,Equity,BBG001S5RHP1,Common Stock,GD
70450Y103,BBG0077VNXV6,PAYPAL HOLDINGS INC,PYPL,US,BBG0077VNXV6,Common Stock,Equity,BBG0077VNXW5,Common Stock,PYPL
02209S103,BBG000BP6LJ8,ALTRIA GROUP INC,MO,US,BBG000BP6LJ8,Common Stock,Equity,BBG001S5T8T5,Common Stock,MO
172967424,BBG000F9CXG0,CITIGROUP INC,TRVC,GR,BBG000F9CXG0,Common Stock,Equity,BBG001S72ZG4,Common Stock,TRVC
718546104,BBG00286S4N9,PHILLIPS 66,PSX,US,BBG00286S4N9,Common Stock,Equity,BBG00286S4P7,Common Stock,PSX
921908844,BBG000P5G869,VANGUARD DIVIDEND APPREC ETF,VIG,US,BBG000P5G869,ETP,Equity,BBG001SQX4T3,Mutual Fund,VIG
075887109,BBG000BCZYD3,BECTON DICKINSON AND CO,BDX,US,BBG000BCZYD3,Common Stock,Equity,BBG001S5P374,Common Stock,BDX
90353T100,BBG002B04MT8,UBER TECHNOLOGIES INC,UBER,US,BBG002B04MT8,Common Stock,Equity,BBG002B04MW4,Common Stock,UBER
452308109,BBG000BMBL90,ILLINOIS TOOL WORKS,ITW,US,BBG000BMBL90,Common Stock,Equity,BBG001S5SDX0,Common Stock,ITW
46434G103,BBG003HC3CQ0,ISHARES CORE MSCI EMERGING,IEMG,US,BBG003HC3CQ0,ETP,Equity,BBG003HC3DG9,Mutual Fund,IEMG
595112103,BBG000C5Z1S3,MICRON TECHNOLOGY INC,MU,US,BBG000C5Z1S3,Common Stock,Equity,BBG001S6P675,Common Stock,MU
375558103,BBG000CKGBP2,GILEAD SCIENCES INC,GILD,US,BBG000CKGBP2,Common Stock,Equity,BBG001S6Y1X7,Common Stock,GILD
922042858,BBG000HT88C8,VANGUARD FTSE EMERGING MARKE,VWO,US,BBG000HT88C8,ETP,Equity,BBG001SHTTZ6,Mutual Fund,VWO
824348106,BBG000BSXQV7,SHERWIN-WILLIAMS CO/THE,SHW,US,BBG000BSXQV7,Common Stock,Equity,BBG001S5W2F9,Common Stock,SHW
09260D107,BBG000BH0106,BLACKSTONE INC,BX,US,BBG000BH0106,Common Stock,Equity,BBG001S7H949,Common Stock,BX
31428X106,BBG000BJF1Z8,FEDEX CORP,FDX,US,BBG000BJF1Z8,Common Stock,Equity,BBG001S5R3M5,Common Stock,FDX
922908744,BBG000HWV1X7,VANGUARD VALUE ETF,VTV,US,BBG000HWV1X7,ETP,Equity,BBG001SHVR78,Mutual Fund,VTV
902973304,BBG000FFDM15,US BANCORP,USB,US,BBG000FFDM15,Common Stock,Equity,BBG001S6T8C1,Common Stock,USB
001055102,BBG000BBBNC6,AFLAC INC,AFL,US,BBG000BBBNC6,Common Stock,Equity,BBG001S5NGJ4,Common Stock,AFL
09857L108,BBG000BLBVN4,BOOKING HOLDINGS INC,BKNG,US,BBG000BLBVN4,Common Stock,Equity,BBG001S89N72,Common Stock,BKNG
337738108,BBG000BJKPG0,FISERV INC,FI,US,BBG000BJKPG0,Common Stock,Equity,BBG001S5R6Q4,Common Stock,FI
278865100,BBG000BHKYH4,ECOLAB INC,ECL,US,BBG000BHKYH4,Common Stock,Equity,BBG001S5QRB5,Common Stock,ECL
494368103,BBG000BMW2Z0,KIMBERLY-CLARK CORP,KMB,US,BBG000BMW2Z0,Common Stock,Equity,BBG001S5SLZ0,Common Stock,KMB
872590104,BBG000NDV1D4,T-MOBILE US INC,TMUS,US,BBG000NDV1D4,Common Stock,Equity,BBG001SKR9Y6,Common Stock,TMUS
45866F104,BBG000C1FB75,INTERCONTINENTAL EXCHANGE IN,ICE,US,BBG000C1FB75,Common Stock,Equity,BBG001SDJ4R0,Common Stock,ICE
46432F842,BBG003H6TR19,ISHARES CORE MSCI EAFE ETF,IEFA,US,BBG003H6TR19,ETP,Equity,BBG003H6TRS0,Mutual Fund,IEFA
036752103,BBG000BCG930,ELEVANCE HEALTH INC,ELV,US,BBG000BCG930,Common Stock,Equity,BBG001S6KBQ8,Common Stock,ELV
81369Y506,BBG000BJ20S2,ENERGY SELECT SECTOR SPDR,XLE,US,BBG000BJ20S2,ETP,Equity,BBG001S7T1S7,Mutual Fund,XLE
81369Y803,BBG000BJ7007,TECHNOLOGY SELECT SECT SPDR,XLK,US,BBG000BJ7007,ETP,Equity,BBG001S7TCZ5,Mutual Fund,XLK
N07059210,,,,,,,,,,
125523100,BBG00KXRCDP0,THE CIGNA GROUP,CI,US,BBG00KXRCDP0,Common Stock,Equity,BBG00KXRCDQ9,Common Stock,CI
92532F100,BBG000C1S2X2,VERTEX PHARMACEUTICALS INC,VRTX,US,BBG000C1S2X2,Common Stock,Equity,BBG001S68LJ8,Common Stock,VRTX
808524797,BBG0025RWKW5,SCHWAB US DVD EQUITY ETF,SCHD,US,BBG0025RWKW5,ETP,Equity,BBG0025RWLM4,Mutual Fund,SCHD
704326107,BBG000BQSQ38,PAYCHEX INC,PAYX,US,BBG000BQSQ38,Common Stock,Equity,BBG001S5V135,Common Stock,PAYX
464287614,BBG000BTR7Z0,ISHARES RUSSELL 1000 GROWTH,IWF,US,BBG000BTR7Z0,ETP,Equity,BBG001S56320,Mutual Fund,IWF
74340W103,BBG000B9Z0J8,PROLOGIS INC,PLD,US,BBG000B9Z0J8,REIT,Equity,BBG001S5NMN6,REIT,PLD
693475105,BBG000BRD0D8,PNC FINANCIAL SERVICES GROUP,PNC,US,BBG000BRD0D8,Common Stock,Equity,BBG001S5V947,Common Stock,PNC
922908751,BBG000HT3Z79,VANGUARD SMALL-CAP ETF,VB,US,BBG000HT3Z79,ETP,Equity,BBG001SHTTV0,Mutual Fund,VB
464287465,BBG000D2KQ55,ISHARES MSCI EAFE ETF,EFA,US,BBG000D2KQ55,ETP,Equity,BBG001SG09V7,Mutual Fund,EFA
743315103,BBG000BR37X2,PROGRESSIVE CORP,PGR,US,BBG000BR37X2,Common Stock,Equity,BBG001S5V509,Common Stock,PGR
126408103,BBG000BGJRC8,CSX CORP,CSX,US,BBG000BGJRC8,Common Stock,Equity,BBG001S5Q7Q3,Common Stock,CSX
22788C105,BBG00BLYKS03,CROWDSTRIKE HOLDINGS INC - A,CRWD,US,BBG00BLYKS03,Common Stock,Equity,BBG00BLYKRZ7,Common Stock,CRWD
806857108,BBG000BT41Q8,SCHLUMBERGER LTD,SLB,US,BBG000BT41Q8,Common Stock,Equity,BBG001S5W4C8,Common Stock,SLB
345370860,BBG000BQPC32,FORD MOTOR CO,F,US,BBG000BQPC32,Common Stock,Equity,BBG001S5TZ33,Common Stock,F
482480100,BBG000BMTFR4,KLA CORP,KLAC,US,BBG000BMTFR4,Common Stock,Equity,BBG001S5SLM4,Common Stock,KLAC
670100205,BBG000BQBKR3,NOVO-NORDISK A/S-SPONS ADR,NVO,US,BBG000BQBKR3,ADR,Equity,BBG001S5TSK0,Depositary Receipt,NVO
26875P101,BBG000BZ9223,EOG RESOURCES INC,EOG,US,BBG000BZ9223,Common Stock,Equity,BBG001S5ZB93,Common Stock,EOG
666807102,BBG000BQ2C28,NORTHROP GRUMMAN CORP,NOC,US,BBG000BQ2C28,Common Stock,Equity,BBG001S5TP26,Common Stock,NOC
35671D857,BBG000BJDB15,FREEPORT-MCMORAN INC,FCX,US,BBG000BJDB15,Common Stock,Equity,BBG001S5R3F3,Common Stock,FCX
58155Q103,BBG000DYGNW7,MCKESSON CORP,MCK,US,BBG000DYGNW7,Common Stock,Equity,BBG001S8F8P8,Common Stock,MCK
464287226,BBG000Q123R0,ISHARES CORE U.S. AGGREGATE,AGG,US,BBG000Q123R0,ETP,Equity,BBG001SM1QT8,Mutual Fund,AGG
922908629,BBG000HX76S7,VANGUARD MID-CAP ETF,VO,US,BBG000HX76S7,ETP,Equity,BBG001SHVTS1,Mutual Fund,VO
101137107,BBG000C0LW92,BOSTON SCIENTIFIC CORP,BSX,US,BBG000C0LW92,Common Stock,Equity,BBG001S63L94,Common Stock,BSX
169656105,BBG000QX74T1,CHIPOTLE MEXICAN GRILL INC,CMG,US,BBG000QX74T1,Common Stock,Equity,BBG001SP50B3,Common Stock,CMG
655844108,BBG000BQ5DS5,NORFOLK SOUTHERN CORP,NSC,US,BBG000BQ5DS5,Common Stock,Equity,BBG001S5TQJ6,Common Stock,NSC
370334104,BBG000BKCFC2,GENERAL MILLS INC,GIS,US,BBG000BKCFC2,Common Stock,Equity,BBG001S5RKR2,Common Stock,GIS
260557103,BBG00BN96922,DOW INC,DOW,US,BBG00BN96922,Common Stock,Equity,BBG00BN96931,Common Stock,DOW
56585A102,BBG001DCCGR8,MARATHON PETROLEUM CORP,MPC,US,BBG001DCCGR8,Common Stock,Equity,BBG001S169P1,Common Stock,MPC
701094104,BBG000BR3KL6,PARKER HANNIFIN CORP,PH,US,BBG000BR3KL6,Common Stock,Equity,BBG001S5V554,Common Stock,PH
756109104,BBG000DHPN63,REALTY INCOME CORP,O,US,BBG000DHPN63,REIT,Equity,BBG001S884K0,REIT,O
020002101,BBG000BLZ8J4,ALLSTATE CORP,ALS,GR,BBG000BLZ8J4,Common Stock,Equity,BBG001S9BM06,Common Stock,ALS
172908105,BBG000D2RM57,CINTAS CORP,CIT,GR,BBG000D2RM57,Common Stock,Equity,BBG001S7CRG1,Common Stock,CIT
871829107,BBG000BTVJ25,SYSCO CORP,SYY,US,BBG000BTVJ25,Common Stock,Equity,BBG001S5WJS8,Common Stock,SYY
231021106,BBG000BGPTV6,CUMMINS INC,CMI,US,BBG000BGPTV6,Common Stock,Equity,BBG001S5Q9M3,Common Stock,CMI
89832Q109,BBG000BYYLS8,TRUIST FINANCIAL CORP,TFC,US,BBG000BYYLS8,Common Stock,Equity,BBG001S5YYC0,Common Stock,TFC
571748102,BBG000BP4MH0,MARSH & MCLENNAN COS,MMC,US,BBG000BP4MH0,Common Stock,Equity,BBG001S5T7M4,Common Stock,MMC
025537101,BBG000BB9KF2,AMERICAN ELECTRIC POWER,AEP,US,BBG000BB9KF2,Common Stock,Equity,BBG001S5NFD2,Common Stock,AEP
12572Q105,BBG000BHLYP4,CME GROUP INC,CME,US,BBG000BHLYP4,Common Stock,Equity,BBG001S86547,Common Stock,CME
682680103,BBG000BQHGR6,ONEOK INC,OKE,US,BBG000BQHGR6,Common Stock,Equity,BBG001S5TWK1,Common Stock,OKE
81369Y605,BBG000BJ29X7,FINANCIAL SELECT SECTOR SPDR,XLF,US,BBG000BJ29X7,ETP,Equity,BBG001S7T223,Mutual Fund,XLF
571903202,BBG000BGD7W6,MARRIOTT INTERNATIONAL -CL A,MAR,US,BBG000BGD7W6,Common Stock,Equity,BBG001S78K44,Common Stock,MAR
59156R108,BBG000BB6KF5,METLIFE INC,MET,US,BBG000BB6KF5,Common Stock,Equity,BBG001S5T3R8,Common Stock,MET
969457100,BBG000BWVCP8,WILLIAMS COS INC,WMB,US,BBG000BWVCP8,Common Stock,Equity,BBG001S5XH10,Common Stock,WMB
032095101,BBG000B9YJ35,AMPHENOL CORP-CL A,APH,US,BBG000B9YJ35,Common Stock,Equity,BBG001S5NSK6,Common Stock,APH
91913Y100,BBG000BBGGQ1,VALERO ENERGY CORP,VLO,US,BBG000BBGGQ1,Common Stock,Equity,BBG001S5X8K9,Common Stock,VLO
81369Y209,BBG000BHVSG6,HEALTH CARE SELECT SECTOR,XLV,US,BBG000BHVSG6,ETP,Equity,BBG001S7SCQ6,Mutual Fund,XLV
46432F339,BBG004TRTWV4,ISHARES MSCI USA QUALITY FAC,QUAL,US,BBG004TRTWV4,ETP,Equity,BBG004TRTWW3,Mutual Fund,QUAL
14448C104,BBG00RP5HYS8,CARRIER GLOBAL CORP,CARR,US,BBG00RP5HYS8,Common Stock,Equity,BBG00RP5HZM1,Common Stock,CARR
